Commodity,Direct_tourism_output,Total_commodity_output_multiplier,Total_tourism_related_output
Traveler accommodations,"168,704",1.58,"266,688"
Food services and drinking places,"130,712",1.83,"238,970"
Domestic passenger air transportation services,"98,550",1.74,"171,724"
International passenger air transportation services,"51,202",1.74,"89,221"
Passenger rail transportation services,"2,256",1.75,"3,938"
Passenger water transportation services,"12,761",2.05,"26,170"
Interurban bus transportation,"1,472",1.72,"2,525"
Interurban charter bus transportation,"1,885",1.72,"3,234"
Urban transit systems and other transportation services,"4,462",1.72,"7,653"
Taxi service,"4,398",1.72,"7,544"
Scenic and sightseeing transportation services,"3,098",1.80,"5,571"
Automotive rental,"34,338",1.60,"55,112"
Other vehicle rental,928,1.60,"1,490"
Automotive repair services,"11,824",1.56,"18,441"
Parking lots and garages,"2,307",1.56,"3,598"
Highway tolls,767,1.92,"1,475"
Travel arrangement and reservation services,"47,370",1.53,"72,318"
Motion pictures and performing arts,"26,325",1.77,"46,503"
Spectator sports,"5,546",1.76,"9,783"
Participant sports,"12,043",1.71,"20,559"
Gambling,"46,400",1.71,"79,210"
All other recreation and entertainment,"11,546",1.73,"19,953"
Gasoline,"101,373",1.50,"151,896"
Nondurable PCE commodities other than gasoline,"132,858",2.05,"272,180"
Total,"913,128",1.73,"1,575,755"